DZ_CODE,UR2FOLD,UR3FOLD,UR6FOLD,UR8FOLD
S01008546,1,1,1,1
S01008547,1,1,1,1
S01008548,1,1,1,1
S01008549,1,1,1,1
S01008550,1,1,1,1
S01008551,1,1,1,1
S01008552,1,1,1,1
S01008553,1,1,1,1
S01008554,1,1,1,1
S01008555,1,1,1,1
S01008556,1,1,1,1
S01008557,1,1,1,1
S01008558,1,1,1,1
S01008559,1,1,1,1
S01008560,1,1,1,1
S01008561,1,1,1,1
S01008562,1,1,1,1
S01008563,1,1,1,1
S01008564,1,1,1,1
S01008565,1,1,1,1
S01008566,1,1,1,1
S01008567,1,1,1,1
S01008568,1,1,1,1
S01008569,1,1,1,1
S01008570,1,1,1,1
S01008571,1,1,1,1
S01008572,1,1,1,1
S01008573,1,1,1,1
S01008574,1,1,1,1
S01008575,1,1,1,1
S01008576,1,1,1,1
S01008577,1,1,1,1
S01008578,1,1,1,1
S01008579,1,1,1,1
S01008580,1,1,1,1
S01008581,1,1,1,1
S01008582,1,1,1,1
S01008583,1,1,1,1
S01008584,1,1,1,1
S01008585,1,1,1,1
S01008586,1,1,1,1
S01008587,1,1,1,1
S01008588,1,1,1,1
S01008589,1,1,1,1
S01008590,1,1,1,1
S01008591,1,1,1,1
S01008592,1,1,1,1
S01008593,1,1,1,1
S01008594,1,1,1,1
S01008595,1,1,1,1
S01008596,1,1,1,1
S01008597,1,1,1,1
S01008598,1,1,1,1
S01008599,1,1,1,1
S01008600,1,1,1,1
S01008601,1,1,1,1
S01008602,1,1,1,1
S01008603,1,1,1,1
S01008604,1,1,1,1
S01008605,1,1,1,1
S01008606,1,1,1,1
S01008607,1,1,1,1
S01008608,1,1,1,1
S01008609,1,1,1,1
S01008610,1,1,1,1
S01008611,1,1,1,1
S01008612,1,1,1,1
S01008613,1,1,1,1
S01008614,1,1,1,1
S01008615,1,1,1,1
S01008616,1,1,1,1
S01008617,1,1,1,1
S01008618,1,1,1,1
S01008619,1,1,1,1
S01008620,1,1,1,1
S01008621,1,1,1,1
S01008622,1,1,1,1
S01008623,1,1,1,1
S01008624,1,1,1,1
S01008625,1,1,1,1
S01008626,1,1,1,1
S01008627,1,1,1,1
S01008628,1,1,1,1
S01008629,1,1,1,1
S01008630,1,1,1,1
S01008631,1,1,1,1
S01008632,1,1,1,1
S01008633,1,1,1,1
S01008634,1,1,1,1
S01008635,1,1,1,1
S01008636,1,1,1,1
S01008637,1,1,1,1
S01008638,1,1,1,1
S01008639,1,1,1,1
S01008640,1,1,1,1
S01008641,1,1,1,1
S01008642,1,1,1,1
S01008643,1,1,1,1
S01008644,1,1,1,1
S01008645,1,1,1,1
S01008646,1,1,1,1
S01008647,1,1,1,1
S01008648,1,1,1,1
S01008649,1,1,1,1
S01008650,1,1,1,1
S01008651,1,1,1,1
S01008652,1,1,1,1
S01008653,1,1,1,1
S01008654,1,1,1,1
S01008655,1,1,1,1
S01008656,1,1,1,1
S01008657,1,1,1,1
S01008658,1,1,1,1
S01008659,1,1,1,1
S01008660,1,1,1,1
S01008661,1,1,1,1
S01008662,1,1,1,1
S01008663,1,1,1,1
S01008664,1,1,1,1
S01008665,1,1,1,1
S01008666,1,1,1,1
S01008667,1,1,1,1
S01008668,1,1,1,1
S01008669,1,1,1,1
S01008670,1,1,1,1
S01008671,1,1,1,1
S01008672,1,1,1,1
S01008673,1,1,1,1
S01008674,1,1,1,1
S01008675,1,1,1,1
S01008676,1,1,1,1
S01008677,1,1,1,1
S01008678,1,1,1,1
S01008679,1,1,1,1
S01008680,1,1,1,1
S01008681,1,1,1,1
S01008682,1,1,1,1
S01008683,1,1,1,1
S01008684,1,1,1,1
S01008685,1,1,1,1
S01008686,1,1,1,1
S01008687,1,1,1,1
S01008688,1,1,1,1
S01008689,1,1,1,1
S01008690,1,1,1,1
S01008691,1,1,1,1
S01008692,1,1,1,1
S01008693,1,1,1,1
S01008694,1,1,1,1
S01008695,1,1,1,1
S01008696,1,1,1,1
S01008697,1,1,1,1
S01008698,1,1,1,1
S01008699,1,1,1,1
S01008700,1,1,1,1
S01008701,1,1,1,1
S01008702,1,1,1,1
S01008703,1,1,1,1
S01008704,1,1,1,1
S01008705,1,1,1,1
S01008706,1,1,1,1
S01008707,1,1,1,1
S01008708,1,1,1,1
S01008709,1,1,1,1
S01008710,1,1,1,1
S01008711,1,1,1,1
S01008712,1,1,1,1
S01008713,1,1,1,1
S01008714,1,1,1,1
S01008715,1,1,1,1
S01008716,1,1,1,1
S01008717,1,1,1,1
S01008718,1,1,1,1
S01008719,1,1,1,1
S01008720,1,1,1,1
S01008721,1,1,1,1
S01008722,1,1,1,1
S01008723,1,1,1,1
S01008724,1,1,1,1
S01008725,1,1,1,1
S01008726,1,1,1,1
S01008727,1,1,1,1
S01008728,1,1,1,1
S01008729,1,1,1,1
S01008730,1,1,1,1
S01008731,1,1,1,1
S01008732,1,1,1,1
S01008733,1,1,1,1
S01008734,1,1,1,1
S01008735,1,1,1,1
S01008736,1,1,1,1
S01008737,1,1,1,1
S01008738,1,1,1,1
S01008739,1,1,1,1
S01008740,1,1,1,1
S01008741,1,1,1,1
S01008742,1,1,1,1
S01008743,1,1,1,1
S01008744,1,1,1,1
S01008745,1,1,1,1
S01008746,1,1,1,1
S01008747,1,1,1,1
S01008748,1,1,1,1
S01008749,1,1,1,1
S01008750,1,1,1,1
S01008751,1,1,1,1
S01008752,1,1,1,1
S01008753,1,1,1,1
S01008754,1,1,1,1
S01008755,1,1,1,1
S01008756,1,1,1,1
S01008757,1,1,1,1
S01008758,1,1,1,1
S01008759,1,1,1,1
S01008760,1,1,1,1
S01008761,1,1,1,1
S01008762,1,1,1,1
S01008763,1,1,1,1
S01008764,1,1,1,1
S01008765,1,1,1,1
S01008766,1,1,1,1
S01008767,1,1,1,1
S01008768,1,1,1,1
S01008769,1,1,1,1
S01008770,1,1,1,1
S01008771,1,1,1,1
S01008772,1,1,1,1
S01008773,1,1,1,1
S01008774,1,1,1,1
S01008775,1,1,1,1
S01008776,1,1,1,1
S01008777,1,1,1,1
S01008778,1,1,1,1
S01008779,1,1,1,1
S01008780,1,1,1,1
S01008781,1,1,1,1
S01008782,1,1,1,1
S01008783,1,1,1,1
S01008784,1,1,1,1
S01008785,1,1,1,1
S01008786,1,1,1,1
S01008787,1,1,1,1
S01008788,1,1,1,1
S01008789,1,1,1,1
S01008790,1,1,1,1
S01008791,1,1,1,1
S01008792,1,1,1,1
S01008793,1,1,1,1
S01008794,1,1,1,1
S01008795,1,1,1,1
S01008796,1,1,1,1
S01008797,1,1,1,1
S01008798,1,1,1,1
S01008799,1,1,1,1
S01008800,1,1,1,1
S01008801,1,1,1,1
S01008802,1,1,1,1
S01008803,1,1,1,1
S01008804,1,1,1,1
S01008805,1,1,1,1
S01008806,1,1,1,1
S01008807,1,1,1,1
S01008808,1,1,1,1
S01008809,1,1,1,1
S01008810,1,1,1,1
S01008811,1,1,1,1
S01008812,1,1,1,1
S01008813,1,1,1,1
S01008814,1,1,1,1
S01008815,1,1,1,1
S01008816,1,1,1,1
S01008817,1,1,1,1
S01008818,1,1,1,1
S01008819,1,1,1,1
S01008820,1,1,1,1
S01008821,1,1,1,1
